,depth,cv_score_ave,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10
0,1,0.6987268689859364,0.7176165803108808,0.7098445595854922,0.6994818652849741,0.6994818652849741,0.7020725388601037,0.689119170984456,0.6839378238341969,0.7168831168831169,0.6805194805194805,0.6883116883116883
1,2,0.806048718121257,0.8393782383419689,0.8341968911917098,0.8082901554404145,0.8238341968911918,0.8005181347150259,0.8031088082901554,0.8031088082901554,0.8051948051948052,0.7766233766233767,0.7662337662337663
2,3,0.811748199986542,0.8316062176165803,0.8549222797927462,0.8238341968911918,0.810880829015544,0.8005181347150259,0.810880829015544,0.8367875647668394,0.812987012987013,0.7688311688311689,0.7662337662337663
3,4,0.8156382477626,0.7953367875647669,0.8523316062176166,0.8341968911917098,0.8212435233160622,0.8341968911917098,0.8212435233160622,0.8341968911917098,0.8155844155844156,0.7714285714285715,0.7766233766233767
4,5,0.8288654868447616,0.8316062176165803,0.8626943005181347,0.8367875647668394,0.8393782383419689,0.8316062176165803,0.8367875647668394,0.8290155440414507,0.8311688311688312,0.7974025974025974,0.7922077922077922
5,6,0.8291232083978197,0.8471502590673575,0.8471502590673575,0.8393782383419689,0.8316062176165803,0.8264248704663213,0.8523316062176166,0.8316062176165803,0.8363636363636363,0.7766233766233767,0.8025974025974026
6,7,0.8415624789718054,0.8601036269430051,0.8730569948186528,0.8497409326424871,0.8575129533678757,0.8549222797927462,0.8419689119170984,0.8471502590673575,0.8363636363636363,0.8103896103896104,0.7844155844155845
7,8,0.8397530448825785,0.8575129533678757,0.8704663212435233,0.8290155440414507,0.8549222797927462,0.8549222797927462,0.8419689119170984,0.8419689119170984,0.8415584415584415,0.8,0.8051948051948052
8,9,0.8384462687571496,0.8393782383419689,0.8808290155440415,0.8652849740932642,0.8549222797927462,0.8549222797927462,0.844559585492228,0.8419689119170984,0.825974025974026,0.7922077922077922,0.7844155844155845
9,10,0.838969786689994,0.844559585492228,0.8911917098445595,0.8290155440414507,0.8626943005181347,0.8523316062176166,0.8497409326424871,0.8367875647668394,0.8467532467532467,0.7818181818181819,0.7948051948051948
10,11,0.8436390552452728,0.8652849740932642,0.8886010362694301,0.8497409326424871,0.8601036269430051,0.8393782383419689,0.8523316062176166,0.8341968911917098,0.8493506493506493,0.7974025974025974,0.8
11,12,0.8350757015005719,0.8549222797927462,0.8756476683937824,0.8419689119170984,0.8652849740932642,0.8497409326424871,0.8316062176165803,0.8393782383419689,0.8337662337662337,0.7662337662337663,0.7922077922077922
12,13,0.8324917569477155,0.8523316062176166,0.8678756476683938,0.8290155440414507,0.8549222797927462,0.8316062176165803,0.844559585492228,0.8264248704663213,0.8285714285714286,0.7896103896103897,0.8
13,14,0.8392315456564161,0.8549222797927462,0.8860103626943006,0.8316062176165803,0.844559585492228,0.844559585492228,0.8549222797927462,0.8419689119170984,0.8415584415584415,0.7896103896103897,0.8025974025974026
14,15,0.8335327366933585,0.8212435233160622,0.883419689119171,0.8316062176165803,0.8549222797927462,0.8497409326424871,0.8316062176165803,0.8264248704663213,0.8415584415584415,0.7974025974025974,0.7974025974025974
15,16,0.8358562680842473,0.8549222797927462,0.8575129533678757,0.8393782383419689,0.8626943005181347,0.8626943005181347,0.8523316062176166,0.8238341968911918,0.825974025974026,0.7792207792207793,0.8
16,17,0.8311930556490141,0.8471502590673575,0.8782383419689119,0.8419689119170984,0.8626943005181347,0.8367875647668394,0.8264248704663213,0.8134715025906736,0.8363636363636363,0.7766233766233767,0.7922077922077922
17,18,0.830676266738443,0.8523316062176166,0.8704663212435233,0.8341968911917098,0.8419689119170984,0.8419689119170984,0.8341968911917098,0.8212435233160622,0.8337662337662337,0.7974025974025974,0.7792207792207793
18,19,0.8241881434627547,0.8523316062176166,0.8704663212435233,0.8160621761658031,0.8575129533678757,0.8419689119170984,0.8316062176165803,0.805699481865285,0.8077922077922078,0.787012987012987,0.7714285714285715
19,20,0.8275607294260142,0.8471502590673575,0.8704663212435233,0.8290155440414507,0.844559585492228,0.8419689119170984,0.844559585492228,0.8134715025906736,0.8207792207792208,0.7662337662337663,0.7974025974025974
20,21,0.8254875176636836,0.8393782383419689,0.8782383419689119,0.8212435233160622,0.8238341968911918,0.8419689119170984,0.8367875647668394,0.8316062176165803,0.8233766233766234,0.7792207792207793,0.7792207792207793
21,22,0.8254915550770472,0.8419689119170984,0.8626943005181347,0.8264248704663213,0.8367875647668394,0.8471502590673575,0.8316062176165803,0.810880829015544,0.8207792207792208,0.7792207792207793,0.7974025974025974
22,23,0.8208256510329051,0.8419689119170984,0.8601036269430051,0.8238341968911918,0.8341968911917098,0.8341968911917098,0.8160621761658031,0.810880829015544,0.8233766233766234,0.7766233766233767,0.787012987012987
23,24,0.8200450844492296,0.8419689119170984,0.8626943005181347,0.8238341968911918,0.8290155440414507,0.8316062176165803,0.8212435233160622,0.8160621761658031,0.8233766233766234,0.7766233766233767,0.7740259740259741
24,25,0.8213444586501583,0.8419689119170984,0.8626943005181347,0.8238341968911918,0.8264248704663213,0.8316062176165803,0.8212435233160622,0.8160621761658031,0.8233766233766234,0.7766233766233767,0.7896103896103897
